epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,591.738,0.62044,0.48131,0.1021,0.85253,0.90805,0.90403,0.53509,0.42845,0.44499,0.05295,0.00066538,0.00066538,0.00066538
2,1691.1,0.49668,0.44688,0.06139,0.86107,0.91417,0.92,0.56222,0.40559,0.43136,0.04925,0.00120017,0.00120017,0.00120017
3,2788.72,0.47677,0.44356,0.05791,0.86605,0.90399,0.92461,0.54869,0.42893,0.4604,0.05056,0.00160297,0.00160297,0.00160297
4,4617.69,0.45114,0.43875,0.05353,0.87777,0.91443,0.93638,0.56617,0.41264,0.43799,0.04988,0.001406,0.001406,0.001406
5,5263.31,0.4431,0.43624,0.05253,0.88054,0.9264,0.94349,0.52593,0.44519,0.44364,0.05414,0.001208,0.001208,0.001208
6,6013.25,0.42733,0.43408,0.04976,0.88232,0.92759,0.94818,0.58494,0.40247,0.43292,0.04833,0.00101,0.00101,0.00101
7,6692.68,0.42282,0.42934,0.04928,0.87665,0.92284,0.94025,0.57568,0.40183,0.4304,0.04826,0.000812,0.000812,0.000812
8,7538.74,0.41194,0.42643,0.04774,0.88789,0.92386,0.9482,0.58708,0.39945,0.42784,0.04736,0.000614,0.000614,0.000614
9,8247.54,0.39858,0.42267,0.04529,0.88315,0.92791,0.94787,0.60908,0.38246,0.42418,0.04595,0.000416,0.000416,0.000416
10,8998.14,0.38643,0.41939,0.04374,0.89446,0.92777,0.95472,0.63323,0.35865,0.41547,0.04225,0.000218,0.000218,0.000218
