epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.2947,3.27985,2.53367,2.27287,0.59815,0.6591,0.56171,0.18473,2.19106,1.24543,1.21296,0.000663446,0.000663446,0.000663446
2,180.479,1.88448,1.11246,1.16152,0.72526,0.79826,0.70799,0.29399,1.81478,1.06724,1.09977,0.00130817,0.00130817,0.00130817
3,274.847,1.79612,1.06749,1.10679,0.72536,0.79594,0.72636,0.31129,1.71624,1.044,1.06055,0.00193089,0.00193089,0.00193089
4,737.815,1.71611,1.01193,1.08111,0.72332,0.74489,0.66767,0.28449,1.67552,1.01741,1.04892,0.001901,0.001901,0.001901
5,818.83,1.67374,0.99004,1.06074,0.75688,0.79512,0.72324,0.33194,1.67574,0.99614,1.0384,0.001868,0.001868,0.001868
6,896.273,1.63357,0.95925,1.04179,0.84313,0.8752,0.8819,0.47854,1.42967,0.82259,0.98731,0.001835,0.001835,0.001835
7,974.294,1.59628,0.93948,1.03095,0.81624,0.85098,0.84177,0.44588,1.44168,0.84458,0.9901,0.001802,0.001802,0.001802
8,1061.81,1.57815,0.92057,1.0273,0.83637,0.86969,0.85996,0.44162,1.51114,0.85929,1.00165,0.001769,0.001769,0.001769
9,1171.52,1.56476,0.91087,1.02441,0.71257,0.73749,0.66071,0.24829,1.89434,1.05101,1.06737,0.001736,0.001736,0.001736
10,1266.12,1.55541,0.90781,1.02022,0.70191,0.7438,0.6708,0.26328,1.8259,1.07441,1.06031,0.001703,0.001703,0.001703
11,1356.67,1.53218,0.88616,1.00934,0.84463,0.86265,0.88471,0.49424,1.37194,0.82008,0.97255,0.00167,0.00167,0.00167
12,1462.69,1.52099,0.87858,1.00977,0.81248,0.84242,0.8368,0.43938,1.43737,0.85334,0.98718,0.001637,0.001637,0.001637
13,1639.47,1.51287,0.88447,1.00494,0.84878,0.87145,0.89552,0.51061,1.34624,0.79091,0.96547,0.001604,0.001604,0.001604
14,1757.06,1.50796,0.87068,1.00888,0.84043,0.8831,0.89621,0.5044,1.34473,0.80012,0.9635,0.001571,0.001571,0.001571
15,2075.73,1.47847,0.8438,0.99092,0.7704,0.78325,0.77686,0.33591,1.62758,0.96252,1.00683,0.001538,0.001538,0.001538
16,2180.19,1.46799,0.83231,0.99452,0.85869,0.89059,0.91223,0.52614,1.36642,0.78434,0.96436,0.001505,0.001505,0.001505
17,2260.52,1.46614,0.84723,0.99287,0.83276,0.88434,0.88271,0.49149,1.34647,0.78911,0.9636,0.001472,0.001472,0.001472
18,2337.98,1.45269,0.82146,0.98413,0.84749,0.86838,0.89324,0.51289,1.30862,0.76612,0.94858,0.001439,0.001439,0.001439
19,2487.76,1.4375,0.81331,0.98742,0.79955,0.84554,0.862,0.4671,1.41074,0.82722,0.97055,0.001406,0.001406,0.001406
20,2567.55,1.42851,0.8026,0.97998,0.86514,0.89797,0.92165,0.54693,1.2638,0.74236,0.93604,0.001373,0.001373,0.001373
21,2729.52,1.41992,0.79782,0.98118,0.83528,0.88508,0.89575,0.51351,1.34186,0.76427,0.95807,0.00134,0.00134,0.00134
22,2809.68,1.41722,0.79103,0.98156,0.83754,0.87346,0.89153,0.47955,1.39421,0.7907,0.95569,0.001307,0.001307,0.001307
23,2888.07,1.41189,0.79094,0.97505,0.84611,0.89877,0.90757,0.53072,1.28122,0.73849,0.94435,0.001274,0.001274,0.001274
24,3053.41,1.39745,0.7772,0.9737,0.84919,0.88484,0.89842,0.5134,1.29668,0.74639,0.93889,0.001241,0.001241,0.001241
25,3130.51,1.38182,0.76195,0.96658,0.8502,0.89021,0.91187,0.53938,1.28451,0.73197,0.94002,0.001208,0.001208,0.001208
26,3208.16,1.37902,0.77012,0.97036,0.85197,0.87856,0.90645,0.52318,1.30709,0.74413,0.94047,0.001175,0.001175,0.001175
27,3286.9,1.38698,0.76349,0.97236,0.85071,0.8884,0.91519,0.51292,1.34203,0.75709,0.94351,0.001142,0.001142,0.001142
28,3402.6,1.37103,0.75502,0.9678,0.87345,0.90384,0.93233,0.57662,1.2284,0.69127,0.92567,0.001109,0.001109,0.001109
29,3479.9,1.3622,0.74573,0.96247,0.86968,0.91508,0.93665,0.5926,1.21453,0.69104,0.92381,0.001076,0.001076,0.001076
30,3557.3,1.37004,0.75552,0.96914,0.87731,0.89601,0.93403,0.59413,1.21385,0.70124,0.92643,0.001043,0.001043,0.001043
31,3666.15,1.34688,0.74242,0.96531,0.87056,0.89869,0.93207,0.57712,1.22918,0.69198,0.92478,0.00101,0.00101,0.00101
32,3744.16,1.34251,0.73118,0.95971,0.86154,0.89398,0.91928,0.54833,1.25585,0.7086,0.92861,0.000977,0.000977,0.000977
33,3821.64,1.34026,0.73232,0.95866,0.87017,0.9016,0.93131,0.57494,1.22625,0.69766,0.92305,0.000944,0.000944,0.000944
34,3899.32,1.32883,0.72673,0.9635,0.86717,0.90517,0.93501,0.58394,1.23155,0.69254,0.92634,0.000911,0.000911,0.000911
35,3980.43,1.31763,0.71227,0.94855,0.87354,0.91268,0.94073,0.6003,1.19698,0.67401,0.91769,0.000878,0.000878,0.000878
36,4057.54,1.31682,0.7184,0.95608,0.87967,0.90709,0.94152,0.60797,1.18951,0.67229,0.91741,0.000845,0.000845,0.000845
37,4147.04,1.32423,0.713,0.95444,0.87079,0.90587,0.93404,0.58617,1.21194,0.6716,0.92161,0.000812,0.000812,0.000812
38,4224.74,1.31208,0.71007,0.95333,0.88356,0.90761,0.94421,0.60313,1.20856,0.67076,0.9177,0.000779,0.000779,0.000779
